X,Y,fid,Name,X_ADDR,ADDRESSFLOORNUMBER,Address_Type,PHOTOURL,Y_ADDR,ADDRESSBUILDINGNAME,HYPERLINK,LANDYADDRESSPOINT,INC_CRC,SHAPE,ADDRESSPOSTALCODE,FMEL_UPD_D,ADDRESSSTREETNAME,ADDRESSUNITNUMBER,LANDXADDRESSPOINT,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION
103.721519868629,1.33458935951134,HAWKERCENTRE.64,Taman Jurong Market & Food Centre,15557.9699,,,,35197.91,,,35197.91,45EB3EEB6168C596,Point,618499,4/11/2017 10:49:15 AM,Yung Sheng Road,,15557.97,3,HUP Rebuilding
103.777203165702,1.44388181695515,HAWKERCENTRE.65,Blks 20/21 Marsiling Lane,21755.23,,,,47282.71,,,47282.71,F48BB5AAEC6675E8,Point,730020,4/11/2017 10:49:15 AM,Marsiling Lane,,21755.23,20/21,HUP Standard Upgrading
103.712799765872,1.34522316279713,HAWKERCENTRE.66,Blks 221A/B Boon Lay Place,14587.57,,,,36373.7899,,,36373.79,84F8C2B4A0428989,Point,641221,4/11/2017 10:49:15 AM,Boon Lay Place,,14587.57,221A/B,HUP Reconfiguration
103.829626834637,1.28797543998856,HAWKERCENTRE.67,Blks 22A/B Havelock Road,27589.1399,,,,30043.3,,,30043.3,1CFBA3CBD7BDDC58,Point,161022,4/11/2017 10:49:15 AM,Havelock Road,,27589.14,22A/B,HUP Standard Upgrading
103.885043500019,1.32644992167301,HAWKERCENTRE.68,Blks 79/79A Circuit Road,33756.46,,,,34297.6699,,,34297.67,B1F15E008973392D,Point,370079,4/11/2017 10:49:15 AM,Circuit Road,,33756.46,79/79A,HUP Standard Upgrading
103.85406806286,1.32342175143899,HAWKERCENTRE.69,Blks 91/92 Whampoa Drive,30309.21,,,,33962.7799,,,33962.78,38A4F5315805995D,Point,320091,4/11/2017 10:49:15 AM,Whampoa Drive,,30309.21,91/92,HUP Standard Upgrading
103.775995008012,1.33937596351574,HAWKERCENTRE.70,Bukit Timah Market,21620.5,,,,35726.98,,,35726.98,FD4DDC8CC949BE76,Point,588215,4/11/2017 10:49:15 AM,Upper Bukit Timah Road,,21620.5,51,HUP Standard Upgrading
103.828537609942,1.43144768831144,HAWKERCENTRE.71,Chong Pang Market & Food Centre,27467.95,,,,45907.73,,,45907.73,A75CB1D5AA165DEE,Point,760104,4/11/2017 10:49:15 AM,Yishun Ring Road,,27467.95,104/105,HUP Standard Upgrading
103.898224315881,1.31672814769914,HAWKERCENTRE.72,Geylang Serai Market,35223.3799,,,,33222.72,,,33222.72,A247BF611947BDE1,Point,402001,4/11/2017 10:49:15 AM,Geylang Serai,,35223.38,,HUP Rebuilding
103.794862936127,1.31090802808649,HAWKERCENTRE.73,Holland Village Market & Food Centre,23720.25,,,,32579.0999,,,32579.1,69A5ED122BC1A107,Point,277700,4/11/2017 10:49:15 AM,Lorong Mambong,,23720.25,1,HUP Rebuilding
